ref,name,capacity,latitude,longitude,contact:email,contact:phone,network,opening_hours,operator,start_date,website,addr:street
3907,Gasworks (Cromac Street),12,54.5921715,-5.9255467,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3922,Corporation Square,14,54.6049485,-5.9215345,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3927,Gasworks (Lagan Towpath),16,54.5912531,-5.9226342,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3916,Dunbar Link / Gordon Street,8,54.602433,-5.9255068,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3908,Waterfront,24,54.5972712,-5.9211082,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3904,Donegall Quay,16,54.6014465,-5.922009,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3903,Victoria Square / Victoria Street,10,54.5982034,-5.9240327,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3912,Castle Place / Royal Avenue,22,54.5993582,-5.9298436,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3902,City Hall,20,54.5971826,-5.9308289,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3906,St George's Market / Cromac Square,12,54.5952546,-5.9236798,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3925,Royal Avenue / Castlecourt,12,54.6013191,-5.9313084,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
3917,North Street / Waring Street,16,54.6007847,-5.9282212,belfastbikes@nsl.co.uk,+44 34 3357 1551,Belfast Bikes,06:00-00:00,Belfast Bikes (Belfast City Council),27/04/2015,http://www.belfastbikes.co.uk/en/belfast/,
