linestring,code,distance,grammesCO2saved,route_name,from,to
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92862,54.59735],[-5.92769,54.59739],[-5.92712,54.59742],[-5.92651,54.59744],[-5.92480,54.59751],[-5.92398,54.59755],[-5.92392,54.59755],[-5.92388,54.59768],[-5.92394,54.59815],[-5.92397,54.59845],[-5.92398,54.59849],[-5.92398,54.59861],[-5.92408,54.59944],[-5.92409,54.59947],[-5.92415,54.59951],[-5.92420,54.59946],[-5.92421,54.59943],[-5.92419,54.59911],[-5.92413,54.59864],[-5.92411,54.59847],[-5.92416,54.59844],[-5.92421,54.59842],[-5.92446,54.59842],[-5.92455,54.59844],[-5.92462,54.59840],[-5.92452,54.59836],[-5.92446,54.59838],[-5.92423,54.59838],[-5.92412,54.59836],[-5.92407,54.59834],[-5.92403,54.59820]",39023903,871,162,City Hall to Victoria Square / Victoria Street,City Hall ,Victoria Square / Victoria Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92737,54.59985],[-5.92717,54.59992],[-5.92666,54.60009],[-5.92613,54.60027],[-5.92594,54.60034],[-5.92577,54.60039],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92212,54.60145]",39023904,919,171,City Hall to Donegall Quay,City Hall ,Donegall Quay
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92862,54.59735],[-5.92769,54.59739],[-5.92712,54.59742],[-5.92651,54.59744],[-5.92480,54.59751],[-5.92398,54.59755],[-5.92392,54.59755],[-5.92377,54.59754],[-5.92300,54.59755],[-5.92288,54.59754],[-5.92275,54.59752],[-5.92263,54.59749],[-5.92162,54.59754],[-5.92147,54.59754],[-5.92147,54.59750],[-5.92127,54.59699],[-5.92122,54.59665],[-5.92120,54.59658],[-5.92116,54.59651],[-5.92111,54.59646],[-5.92105,54.59642],[-5.92096,54.59638],[-5.92084,54.59635],[-5.92050,54.59636],[-5.92033,54.59637],[-5.92033,54.59640],[-5.92031,54.59644],[-5.92027,54.59647],[-5.92022,54.59649],[-5.92016,54.59649],[-5.92010,54.59649],[-5.92005,54.59648],[-5.92000,54.59645],[-5.91997,54.59642],[-5.91996,54.59639],[-5.91997,54.59636],[-5.91999,54.59633],[-5.92003,54.59630],[-5.92008,54.59628],[-5.92015,54.59628],[-5.92014,54.59618],[-5.92010,54.59583],[-5.92008,54.59578],[-5.92005,54.59575],[-5.92000,54.59573],[-5.91995,54.59571],[-5.91987,54.59570],[-5.91979,54.59570],[-5.91881,54.59574],[-5.91795,54.59578],[-5.91789,54.59579],[-5.91784,54.59582],[-5.91780,54.59587],[-5.91779,54.59594],[-5.91787,54.59662],[-5.91788,54.59685],[-5.91787,54.59693],[-5.91784,54.59697],[-5.91778,54.59701],[-5.91771,54.59704],[-5.91759,54.59704],[-5.91702,54.59693],[-5.91712,54.59678],[-5.91722,54.59658],[-5.91726,54.59647],[-5.91729,54.59637],[-5.91728,54.59628],[-5.91727,54.59615],[-5.91725,54.59607],[-5.91722,54.59598],[-5.91717,54.59589],[-5.91709,54.59576],[-5.91692,54.59551],[-5.91688,54.59546],[-5.91683,54.59542],[-5.91678,54.59540],[-5.91673,54.59539],[-5.91671,54.59539],[-5.91663,54.59538],[-5.91645,54.59539]",39023905,1435,267,City Hall to Central Station / Mays Meadow,City Hall ,Central Station / Mays Meadow
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92740,54.59513],[-5.92631,54.59518],[-5.92631,54.59514],[-5.92625,54.59469],[-5.92625,54.59462],[-5.92622,54.59429],[-5.92530,54.59434],[-5.92509,54.59433],[-5.92478,54.59427],[-5.92464,54.59424],[-5.92451,54.59421],[-5.92442,54.59436],[-5.92439,54.59442],[-5.92412,54.59436],[-5.92399,54.59458],[-5.92383,54.59482],[-5.92373,54.59491],[-5.92359,54.59498],[-5.92351,54.59504],[-5.92343,54.59510],[-5.92345,54.59515],[-5.92350,54.59521],[-5.92359,54.59518]",39023906,882,164,City Hall to St George's Market / Cromac Square,City Hall ,St George's Market / Cromac Square
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92732,54.59422],[-5.92729,54.59387],[-5.92720,54.59316],[-5.92711,54.59242],[-5.92707,54.59241],[-5.92666,54.59232],[-5.92660,54.59231],[-5.92620,54.59222],[-5.92602,54.59218],[-5.92592,54.59215],[-5.92579,54.59212],[-5.92562,54.59203],[-5.92556,54.59211]",39023907,854,159,City Hall to Gasworks (Cromac Street),City Hall ,Gasworks (Cromac Street)
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92862,54.59735],[-5.92769,54.59739],[-5.92712,54.59742],[-5.92651,54.59744],[-5.92480,54.59751],[-5.92398,54.59755],[-5.92392,54.59755],[-5.92377,54.59754],[-5.92300,54.59755],[-5.92288,54.59754],[-5.92275,54.59752],[-5.92263,54.59749],[-5.92162,54.59754],[-5.92147,54.59754],[-5.92147,54.59750],[-5.92127,54.59699],[-5.92122,54.59665],[-5.92120,54.59658],[-5.92116,54.59651],[-5.92111,54.59646],[-5.92105,54.59642],[-5.92096,54.59638],[-5.92084,54.59635],[-5.92050,54.59636],[-5.92033,54.59637],[-5.92033,54.59640],[-5.92031,54.59644],[-5.92027,54.59647],[-5.92022,54.59649],[-5.92024,54.59653],[-5.92030,54.59691],[-5.92050,54.59696],[-5.92066,54.59704],[-5.92082,54.59717],[-5.92088,54.59725]",39023908,900,168,City Hall to Waterfront,City Hall ,Waterfront
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.92994,54.59228],[-5.93003,54.59212],[-5.93009,54.59186],[-5.93014,54.59185],[-5.93034,54.59143],[-5.93058,54.59092],[-5.93068,54.59074],[-5.93113,54.58987],[-5.93113,54.58983],[-5.93112,54.58980],[-5.93172,54.58974],[-5.93197,54.58972],[-5.93230,54.58968],[-5.93291,54.58963],[-5.93347,54.58957],[-5.93365,54.58952],[-5.93369,54.58951],[-5.93362,54.58939],[-5.93361,54.58931]",39023909,1244,232,City Hall to Botanic Avenue / Shaftesbury Square,City Hall ,Botanic Avenue / Shaftesbury Square
"[-5.93083,54.59726],[-5.93107,54.59725],[-5.93142,54.59719],[-5.93152,54.59714],[-5.93157,54.59709],[-5.93161,54.59704],[-5.93158,54.59672],[-5.93155,54.59644],[-5.93171,54.59643],[-5.93202,54.59642],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93313,54.59587],[-5.93306,54.59535],[-5.93302,54.59489],[-5.93303,54.59482]",39023910,406,76,City Hall to Europa Bus Station / Blackstaff Square,City Hall ,Europa Bus Station / Blackstaff Square
"[-5.93083,54.59726],[-5.93107,54.59725],[-5.93142,54.59719],[-5.93152,54.59714],[-5.93157,54.59709],[-5.93161,54.59704],[-5.93158,54.59672],[-5.93155,54.59644],[-5.93171,54.59643],[-5.93202,54.59642],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93313,54.59587],[-5.93306,54.59535],[-5.93302,54.59489],[-5.93302,54.59473],[-5.93302,54.59468],[-5.93307,54.59465],[-5.93317,54.59463],[-5.93359,54.59461],[-5.93442,54.59458],[-5.93440,54.59441],[-5.93439,54.59433],[-5.93426,54.59348]",39023911,638,119,City Hall to Great Victoria Street / Hope Street,City Hall ,Great Victoria Street / Hope Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92923,54.59933],[-5.92981,54.59927]",39023912,480,89,City Hall to Castle Place / Royal Avenue,City Hall ,Castle Place / Royal Avenue
